business,email,country,city,language,source_type,source_url,demo_url,status,offer_eur,sent_at
Crowns,crownshair123@gmail.com,Ireland,Cork,en,Wix,https://kel19897.wixsite.com/website,https://visione.one/demo/?lead=crowns-cork,SENT,250,2026-09-18
Solo Hair Design,solohairdesign@gmail.com,Ireland,Cork,en,Wix,https://solohairdesign.wixsite.com/website,https://visione.one/demo/?lead=solo-hair-design-cork,SENT,250,2026-09-18
Studio102 Hair & Beauty,studio102galway@gmail.com,Ireland,Galway,en,Wix,https://studio102galway.wixsite.com/website,https://visione.one/demo/?lead=studio102-galway,SENT,250,2026-09-18
Jeff Devine Hair Group,jeffdevine01@gmail.com,Ireland,Cork,en,Wix,https://jeffdevine01.wixsite.com/website-1,https://visione.one/demo/?lead=jeff-devine-hair-cork,SENT,250,2026-09-18
D&b Hair and Beauty Professionals,dbparrucchieritorino@gmail.com,Italy,Torino,it,Google Sites,https://sites.google.com/view/dbprofessionals/contatti,https://visione.one/demo/?lead=db-hair-beauty-torino,SENT,250,2026-09-18
Statuto Parrucchieri,statutoparrucchieri@gmail.com,Italy,Torino,it,Wix,https://statutoparrucchier4.wixsite.com/statutoparrucchieri,https://visione.one/demo/?lead=statuto-parrucchieri,SENT,250,2026-09-18
Che-Veux,che.veux.leuven@gmail.com,Belgium,Leuven,nl,Salonized,https://che-veux.salonized.com/,https://visione.one/demo/?lead=che-veux-leuven,SENT,250,2026-09-18
Coiffure Elle & Lui,elle.lui.gent@gmail.com,Belgium,Gent,nl,Salonized,https://coiffure-elle-en-lui.salonized.com/,https://visione.one/demo/?lead=coiffure-elle-lui-gent,SENT,250,2026-09-18
Simply Waxed,simplywaxedgent@gmail.com,Belgium,Gent,nl,Salonized,https://simply-waxed.salonized.com/,https://visione.one/demo/?lead=simply-waxed-gent,SENT,250,2026-09-18
Amie Nail Studio,amienailstudio.contact@gmail.com,Belgium,Leuven,nl,Salonized,https://amie.salonized.com/,https://visione.one/demo/?lead=amie-nail-studio-leuven,SENT,250,2026-09-18
NΛIL ME,nailmeantwerp@gmail.com,Belgium,Antwerpen,nl,Salonized,https://nailme.salonized.com/services,https://visione.one/demo/?lead=nail-me-antwerp,SENT,250,2026-09-18
The Lash Space - Glowdent,tlsantwerp@gmail.com,Belgium,Antwerpen,nl,Salonized,https://the-lash-space.salonized.com/services,https://visione.one/demo/?lead=lash-space-antwerp,SENT,250,2026-09-18
Fem Beauty Room,fembeautyroom@gmail.com,Belgium,Antwerpen,nl,Salonized,https://fembeautyroom.salonized.com/services,https://visione.one/demo/?lead=fem-beauty-room-antwerp,SENT,250,2026-09-18
Lumé Laser Clinic,lasercliniclume@gmail.com,Belgium,Antwerpen,nl,Salonized,https://lume-2.salonized.com/services,https://visione.one/demo/?lead=lume-laser-antwerp,SENT,250,2026-09-18
Alchimie Hair,arhairstudio20@gmail.com,Belgium,Brussels,fr,Salonized,https://alchimie-hair.salonized.com/services,https://visione.one/demo/?lead=alchimie-hair-brussels,SENT,250,2026-09-18
BarberSouf,cc.kapsalon@gmail.com,Netherlands,Rotterdam,nl,Salonized,https://coupe-couture.salonized.com/,https://visione.one/demo/?lead=barbersouf-rotterdam,SENT,250,2026-09-18
Curlsndbraids,anisha832001@gmail.com,Netherlands,Rotterdam,nl,Salonized,https://curlsndbraids.salonized.com/,https://visione.one/demo/?lead=curlsndbraids-rotterdam,SENT,250,2026-09-18
Venus Beauty Oasis,venusbeautyoasis@gmail.com,Netherlands,Rotterdam,nl,Salonized,https://venus-beauty-oasis.salonized.com/services,https://visione.one/demo/?lead=venus-beauty-oasis,SENT,250,2026-09-18
Sh’O Noir,shonoirbeauty@gmail.com,Netherlands,Rotterdam,nl,Salonized,https://sho-noir.salonized.com/,https://visione.one/demo/?lead=sho-noir-rotterdam,SENT,250,2026-09-18
Barber Poes,kapperpoes@gmail.com,Netherlands,Rotterdam,nl,Salonized,https://poes.salonized.com/,https://visione.one/demo/?lead=barber-poes-rotterdam,SENT,250,2026-09-18
Pheemnails & Beauty,pheemnails@gmail.com,Netherlands,Eindhoven,nl,Salonized,https://pheemnails.salonized.com/,https://visione.one/demo/?lead=pheemnails-eindhoven,SENT,250,2026-09-18
Le Petit Boudoir,lepetitboudoir@gmail.com,France,Bordeaux,fr,Wix,https://lepetitboudoir1.wixsite.com/lepetitboudoir,https://visione.one/demo/?lead=le-petit-boudoir-bordeaux,SENT,250,2026-09-18
Coiff&moi,coiffetmoi56430@gmail.com,France,Néant-sur-Yvel,fr,Wix,https://coiffetmoicoiffure.wixsite.com/website,https://visione.one/demo/?lead=coiff-et-moi,SENT,250,2026-09-18
Just for Men Digoin,justformendigoin@gmail.com,France,Digoin,fr,Wix,https://justformendigoin.wixsite.com/barbier,https://visione.one/demo/?lead=just-for-men-digoin,SENT,250,2026-09-18
Ceti Hair Beauty,cetihair@gmail.com,France,Juvisy-sur-Orge,fr,Wix,https://cetihair.wixsite.com/ceti-hair-beauty,https://visione.one/demo/?lead=ceti-hair-beauty,SENT,250,2026-09-18
